Months,Rates
2020/1/1,9.8664
2020/2/1,9.0488
2020/3/1,9.035528
2020/4/1,8.7586
2020/5/1,8.8628
2020/6/1,8.7813
2020/7/1,8.6219
2020/8/1,8.2346
2020/9/1,9.0666
2020/10/1,9.0858
2020/11/1,8.9238
2020/12/1,9.0578
2021/1/1,9.3373
2021/2/1,9.309411
2021/3/1,9.1076
2021/4/1,9.5415
2021/5/1,10.6559
2021/6/1,10.830914
2021/7/1,11.487409
2021/8/1,10.7406
2021/9/1,10.689505
2021/10/1,10.65632
2021/11/1,10.8854
2021/12/1,11.878485
2022/1/1,13.626412
2022/2/1,13.936211
2022/3/1,12.895415
2022/4/1,12.886791
2022/5/1,12.900309
2022/6/1,13.185409
2022/7/1,15.049805
2022/8/1,15.137605
2022/9/1,15.012016
2022/10/1,16.51500
